{ Methods = 8, Name = System.Reflection.ObfuscationAttribute }
{ Methods = 8, Name = System.Runtime.InteropServices.SafeHandle }
{ Methods = 8, Name = System.Runtime.Remoting.Messaging.RemotingSurrogateSelector }
{ Methods = 8, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapQName }
{ Methods = 8, Name = System.Runtime.Serialization.Formatter }
{ Methods = 8, Name = System.Security.AccessControl.GenericSecurityDescriptor }
{ Methods = 8, Name = System.Security.AccessControl.ObjectAce }
{ Methods = 8, Name = System.Security.AccessControl.RawAcl }
{ Methods = 8, Name = System.Security.Cryptography.CspParameters }
{ Methods = 8, Name = System.Security.Cryptography.FromBase64Transform }
{ Methods = 8, Name = System.Security.Cryptography.RC2CryptoServiceProvider }
{ Methods = 8, Name = System.Security.Cryptography.RSAOAEPKeyExchangeFormatter }
{ Methods = 8, Name = System.Security.Cryptography.ToBase64Transform }
{ Methods = 8, Name = System.Security.Permissions.PublisherIdentityPermission }
{ Methods = 8, Name = System.Security.Permissions.SiteIdentityPermission }
{ Methods = 8, Name = System.Security.Permissions.UrlIdentityPermission }
{ Methods = 8, Name = System.Security.Permissions.ZoneIdentityPermission }
{ Methods = 8, Name = System.Security.Policy.ApplicationSecurityInfo }
{ Methods = 8, Name = System.Security.Policy.FileCodeGroup }
{ Methods = 8, Name = System.Tuple`5 }
{ Methods = 7, Name = System.Collections.Concurrent.OrderablePartitioner`1 }
{ Methods = 7, Name = System.Collections.ObjectModel.ReadOnlyDictionary`2 }
{ Methods = 7, Name = System.Diagnostics.StackFrame }
{ Methods = 7, Name = System.Globalization.StringInfo }
{ Methods = 7, Name = System.OperatingSystem }
{ Methods = 7, Name = System.Reflection.CustomAttributeData }
{ Methods = 7, Name = System.Reflection.Emit.EventBuilder }
{ Methods = 7, Name = System.Runtime.Remoting.Channels.ServerChannelSinkStack }
{ Methods = 7, Name = System.Runtime.Remoting.Contexts.Context }
{ Methods = 7, Name = System.Runtime.Remoting.Contexts.ContextAttribute }
{ Methods = 7, Name = System.Runtime.Remoting.Contexts.SynchronizationAttribute }
{ Methods = 7, Name = System.Runtime.Remoting.Lifetime.ClientSponsor }
{ Methods = 7, Name = System.Runtime.Remoting.Messaging.ConstructionCall }
{ Methods = 7, Name = System.Security.Cryptography.Rfc2898DeriveBytes }
{ Methods = 7, Name = System.Security.Permissions.EnvironmentPermissionAttribute }
{ Methods = 7, Name = System.Security.Permissions.IsolatedStoragePermission }
{ Methods = 7, Name = System.Security.Permissions.PrincipalPermissionAttribute }
{ Methods = 7, Name = System.Security.Permissions.PublisherIdentityPermissionAttribute }
{ Methods = 7, Name = System.Security.Permissions.StrongNameIdentityPermissionAttribute }
{ Methods = 7, Name = System.Security.Policy.Hash }
{ Methods = 7, Name = System.Security.Policy.Publisher }
{ Methods = 7, Name = System.Security.Policy.Site }
{ Methods = 7, Name = System.Security.Policy.Url }
{ Methods = 7, Name = System.Security.Policy.Zone }
{ Methods = 7, Name = System.Security.Principal.WindowsPrincipal }
{ Methods = 7, Name = System.Threading.CancellationTokenSource }
{ Methods = 7, Name = System.Threading.SynchronizationContext }
{ Methods = 7, Name = System.TimeZone }
{ Methods = 7, Name = System.Tuple`4 }
{ Methods = 6, Name = System.AggregateException }
{ Methods = 6, Name = System.Collections.CollectionBase }
{ Methods = 6, Name = System.Collections.ObjectModel.ReadOnlyCollection`1 }
{ Methods = 6, Name = System.Diagnostics.Tracing.EventSourceAttribute }
{ Methods = 6, Name = System.FormattableString }
{ Methods = 6, Name = System.Reflection.Binder }
{ Methods = 6, Name = System.Reflection.MethodBody }
{ Methods = 6, Name = System.Runtime.Remoting.Messaging.LogicalCallContext }
{ Methods = 6, Name = System.Runtime.Remoting.Metadata.SoapAttribute }
{ Methods = 6, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapDate }
{ Methods = 6, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapYear }
{ Methods = 6, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapYearMonth }
{ Methods = 6, Name = System.Runtime.Remoting.WellKnownServiceTypeEntry }
{ Methods = 6, Name = System.Runtime.Serialization.Formatters.ServerFault }
{ Methods = 6, Name = System.Runtime.Serialization.SerializationInfoEnumerator }
{ Methods = 6, Name = System.Security.Cryptography.DSA }
{ Methods = 6, Name = System.Security.Cryptography.RSAEncryptionPadding }
{ Methods = 6, Name = System.Security.Cryptography.RSAPKCS1KeyExchangeDeformatter }
{ Methods = 6, Name = System.Security.Cryptography.RSAPKCS1KeyExchangeFormatter }
{ Methods = 6, Name = System.Security.Permissions.GacIdentityPermission }
{ Methods = 6, Name = System.Security.Policy.ApplicationDirectory }
{ Methods = 6, Name = System.Security.Policy.GacInstalled }
{ Methods = 6, Name = System.Security.Policy.PermissionRequestEvidence }
{ Methods = 6, Name = System.Security.Principal.IdentityReference }
{ Methods = 6, Name = System.Security.Principal.NTAccount }
{ Methods = 6, Name = System.StringComparer }
{ Methods = 6, Name = System.Text.EncoderFallbackBuffer }
{ Methods = 6, Name = System.Text.EncoderReplacementFallbackBuffer }
{ Methods = 6, Name = System.Text.EncodingInfo }
{ Methods = 6, Name = System.Threading.Tasks.ParallelLoopState }
{ Methods = 6, Name = System.Threading.Tasks.ParallelOptions }
{ Methods = 6, Name = System.Threading.ThreadLocal`1 }
{ Methods = 6, Name = System.Threading.Timer }
{ Methods = 6, Name = System.Tuple`3 }
{ Methods = 5, Name = System.ActivationContext }
{ Methods = 5, Name = System.Attribute }
{ Methods = 5, Name = System.AttributeUsageAttribute }
{ Methods = 5, Name = System.BadImageFormatException }
{ Methods = 5, Name = System.CharEnumerator }
{ Methods = 5, Name = System.Diagnostics.DebuggerTypeProxyAttribute }
{ Methods = 5, Name = System.Diagnostics.Tracing.EventListener }
{ Methods = 5, Name = System.Globalization.SortKey }
{ Methods = 5, Name = System.Globalization.SortVersion }
{ Methods = 5, Name = System.Globalization.TextElementEnumerator }
{ Methods = 5, Name = System.IO.FileLoadException }
{ Methods = 5, Name = System.IO.FileNotFoundException }
{ Methods = 5, Name = System.IO.IsolatedStorage.IsolatedStorageSecurityState }
{ Methods = 5, Name = System.Random }
{ Methods = 5, Name = System.Reflection.ConstructorInfo }
{ Methods = 5, Name = System.Reflection.Emit.LocalBuilder }
{ Methods = 5, Name = System.Runtime.CompilerServices.ConditionalWeakTable`2 }
{ Methods = 5, Name = System.Runtime.InteropServices.CriticalHandle }
{ Methods = 5, Name = System.Runtime.InteropServices.WindowsRuntime.EventRegistrationTokenTable`1 }
{ Methods = 5, Name = System.Runtime.InteropServices.WindowsRuntime.InterfaceImplementedInVersionAttribute }
{ Methods = 5, Name = System.Runtime.Remoting.ActivatedClientTypeEntry }
{ Methods = 5, Name = System.Runtime.Remoting.Activation.UrlAttribute }
{ Methods = 5, Name = System.Runtime.Remoting.Channels.ClientChannelSinkStack }
{ Methods = 5, Name = System.Runtime.Remoting.Metadata.SoapFieldAttribute }
{ Methods = 5, Name = System.Runtime.Remoting.WellKnownClientTypeEntry }
{ Methods = 5, Name = System.Runtime.Serialization.SurrogateSelector }
{ Methods = 5, Name = System.Security.AccessControl.CustomAce }
{ Methods = 5, Name = System.Security.AccessControl.QualifiedAce }
{ Methods = 5, Name = System.Security.Cryptography.HMAC }
{ Methods = 5, Name = System.Security.Cryptography.RSASignaturePadding }
{ Methods = 5, Name = System.Security.Permissions.FileDialogPermissionAttribute }
{ Methods = 5, Name = System.Security.Permissions.IsolatedStorageFilePermission }
{ Methods = 5, Name = System.Security.Permissions.SecurityAttribute }
{ Methods = 5, Name = System.Security.Permissions.UIPermissionAttribute }
{ Methods = 5, Name = System.Security.Principal.GenericIdentity }
{ Methods = 5, Name = System.Text.DecoderFallbackBuffer }
{ Methods = 5, Name = System.Text.DecoderReplacementFallback }
